questionText,questionType,answerText,answerType,answerHelpfulness,Helpfulness_Target
"Syncing apps to the leappad Bought my kids the leappad explorer for Christmas.  First, it took 45 minutes to download the software I need.  I am not having MAJOR problems and frustrations with syncing the apps.I downloaded the 4 apps that came with the leappad.  2 of them will not sync.  I try to click on the check box next to the app in the 'On this leappad' page, but it just won't check.  It continues to say ""Not on Leappad"".  I uncheck/check the ones that seem to work but cannot get the Art studio and story studio to sync.  What gives?  What am I doing wrong or is this a malfunction.  It won't work on either of the 2 leappads I have.Please give me guidance, anyone else have this issue??",descriptive,"After 14 hours of ""troubleshooting"", including 3 hours on the phone with a total of three different and horrific Leapfrog customer service representatives and their ""managers"", I finally had success syncing the LeapPad about 10 minutes ago:1.  Follow Jo's advice (THANK YOU VERY, VERY MUCH Jo, for saving my son's big Christmas present).  Uninstall the LeapFrog Connect software and also follow this trouble shooting tip:http://www.ehow.com/how_10040240_troubleshot-leappad.html2.  You must disable ALL firewall settings in Windows and any/all connection firewall settings.3.  Disable every single option possible within Norton.   Do not leave any option ""On"".4.  Keep fingers crossed and hope that Santa didn't hear you cussing at your PC trying to sync your LeapPad ;)Merry Christmas, Jo,Matt",NA,"[4, 5]",0
"Freezing up My daughter's leappad seems to be working fine until we play the Bubble Guppies App. It's here favorite and whenever she plays the video, halfway through it freezes completely up (screen goes clear) and we have to take the batteries out to turn it off. Does anyone else have this problem or is it just ours?",descriptive,"Here is what they sent me to do:Open the LeapFrog Connect Application, go to ""Setting"" and try both the ""Repair"" and ""Reset"" option.On the LeapPad Device+ Right on the DPad (Since the device can be rotated two ways, the right arrow is on the right side of the DPAD when you are holding it in portrait mode)+ Home+ Down VolumeAnd while holding all 3 buttons, while turning on the unit.Connect the LeapPad to the computer.",NA,"[11, 13]",0
"Freezing up My daughter's leappad seems to be working fine until we play the Bubble Guppies App. It's here favorite and whenever she plays the video, halfway through it freezes completely up (screen goes clear) and we have to take the batteries out to turn it off. Does anyone else have this problem or is it just ours?",descriptive,Just got the pets pal plug in game and it will freeze up and I have to do the same thing and remove the battery.  The screen freezes and I can't turn it off.  I have twins and I'm going to see if the game freezes up on her leap pad.  If it does I'll know it's the game.,NA,"[2, 2]",1
"Freezing up My daughter's leappad seems to be working fine until we play the Bubble Guppies App. It's here favorite and whenever she plays the video, halfway through it freezes completely up (screen goes clear) and we have to take the batteries out to turn it off. Does anyone else have this problem or is it just ours?",descriptive,"Ok so its not just ours. My daughters leappad froze up twice while using Pet Pad. Like you said it won't shut off so you have to take the batteries out every time. I just looked up the warrenty information and it sucks! I bought hers several months before Christmas to beat the holiday rush so the warrenty period is over and theres no way I can return it to the store. Before I found this thread I couldn't find anyone with the same issue.  When I get home from work I will follow others advice and check our firewall settings, and download any updates then I will uninstall/reinstall app center thru the site instead of using the CD. We have Windows 7 so hopefully updating will fix the issue. IF not I will call leapfrog to see if they can offer any help. Its such a shame b/c we buy many leapfrog products and have never had an issue before :(. Will let you know if we find the fix. ~MARY",NA,"[1, 2]",0
"If I buy two tablets, can I buy one game and put it on both or do I have to pay for two games? I am doing research on this for my 3 and 5 year olds.  I am thinking about getting two and am wondering what I would need to spend on game/book apps right away.  Also, if I but one game, can I place it on both tablets or do I have to pay for it twice?",descriptive,Leapfrog mentioned on their facebook page that they are looking into an mp3 app for download in the future,NA,"[2, 2]",1
"If I buy two tablets, can I buy one game and put it on both or do I have to pay for two games? I am doing research on this for my 3 and 5 year olds.  I am thinking about getting two and am wondering what I would need to spend on game/book apps right away.  Also, if I but one game, can I place it on both tablets or do I have to pay for it twice?",descriptive,That would make the LeapPad leap over the competition! LOL.   It would be a very nice add on.,NA,"[2, 2]",1
Can you load 1 game on 2 leapPads? I have 2 leappads for my daughters.  Can you buy the app once and download it onto each one?  And how do you do it?,descriptive,"Yes, I also have 2 leappads and made the mistake at first of buying the app twice. You can share an app 2 times according to the website. Just download it to each leappad. Make sure when you switch leappads hooked to your computer you also go back to the home page and switch user names.",NA,"[12, 12]",1
Can you load 1 game on 2 leapPads? I have 2 leappads for my daughters.  Can you buy the app once and download it onto each one?  And how do you do it?,descriptive,"yes, i just read on the leapster website that you can put 1 app on 2 leappads. hope this helpsTo download an app to a second device:1. From the LeapFrog Connect home page, choose a player name on the LeapPad or Leapster Explorer that you want to save the learning app to.2. Click the On This LeapPad or On This Leapster Explorer tab.3. Check the box next to the learning app that you want to save to your device. If you don't see the learning app you want to save, click Check for new downloads to refresh your library.4. Turn on your LeapPad or Leapster Explorer and then connect it to your computer with the included USB cable.5. Wait while the app syncs to your device. You'll know when syncing is complete when you see ""Sync complete"".",NA,"[14, 15]",0
"Is 8 years old too old for Leappad?? My son just turned 8 years old, Those of you that have these in your homes, what do you think?? Is he too old or does the Leappad still have apps and games that he would be interested in?",descriptive,"Jewel train, Sugar Bugs and Alphabet Stew are the titles geared toward the older children. There are 2 new Discovery videos geared toward the 5-9 age group. Other than that, the selection may be limited and your son may find it interesting a few days and they he may quickly outgrow the product.  I hope that Leapfrog expands their library toward the 7-10 age range.There are maybe 3 to 4 cartridge games also for the 5-9 age range like X-Man and NFL Rush Zone.If I was in yours shoes, I would perhaps consider buying a Nintendo DS as they also have good educational titles and also play some of the leisure games with the same device. Our 6 year old is getting the LeapPad as well as the Nintendo DS Lite (same price now).  Hope this is helpful.",NA,"[5, 5]",1
"Is 8 years old too old for Leappad?? My son just turned 8 years old, Those of you that have these in your homes, what do you think?? Is he too old or does the Leappad still have apps and games that he would be interested in?",descriptive,"I think if I were you I would choose a nook color or a amazon fire for her so that she can play games, watch movies and choose the appropriate reading level for her. If you go to ebay and search banesandnobleinc under community you can buy a refurbished nook color on for $149 directly from barnes and noble and you can get a otterbox to protect it. Another option is that you could get her a ipod touch so that you can use the content you already have and add to it with a otterbox.Also with the nook you have the option to root it at later date and turn it into a low end android tablet for her when she is older so it will grow with her.I know that I will probably catch some flack for this suggestion but I don't care. Bottom line is not all children develop the same so what is good for one may not be the case for another.",NA,"[6, 6]",1
will this be a good set for an 11 year old girl?,yesno,Its too small for an 11year old. Its more towards the size for a 3-7 yr old,NA,"[2, 2]",1
Is this drum too small for an 11 year old boy?,descriptive,the chair is,NA,"[0, 1]",0
what is the scale of this model 1/144  or 1/100  ?,descriptive,I believe Tamashii uses 1/100 scale,NA,"[0, 1]",0
"If a 1 yr old boy (about 80cm tall) wants to sit down & play with this, can he sit on the floor or must he sit on a little chair to reach table top?",descriptive,The table actually tilts at an angle if you want it to so yes they could sit and play with it.,NA,"[2, 2]",1
"hello, what are the dimensions of the box, and weight with the product in",descriptive,did not pay attention,NA,"[0, 1]",0
"hello, what are the dimensions of the box, and weight with the product in",descriptive,"It's been almost a year since I ordered this, but as I recall, and this is a big guestimate, about 2' L x 1 1/2' H x 6-8"" thick.  It did not weigh a lot, probably 3 or 4 pounds.  Sorry I can't be more exact.  You didn't ask, but I got this for my granddaughter who was 1 at the time of purchase, and she LOVES it!",NA,"[2, 2]",1
"hello, what are the dimensions of the box, and weight with the product in",descriptive,"16x17x19 inches, 7.5pounds",NA,"[2, 2]",1
how tall is it from the ground to the bottom of the table?,descriptive,I really haven't measure it because its still unpack because its going to be a chritsmas gift.,NA,"[0, 1]",0
how sturdy is the bottom of the wagon and is it comfortable for children to sit in?,descriptive,"There are metal braces, with hard panels and a thin pad. It is sturdy. If there are sitting its softer than plastic but if they lay down you may want to add a pillow or blanket so you are not bouncing their heads. I bent the wheels on the front of my first wagon. Make sure you lift up when going over a bump.",NA,"[2, 2]",1
how sturdy is the bottom of the wagon and is it comfortable for children to sit in?,descriptive,It seems to be sturdy until one of the front wheel broke off from the welding joint. It is comfortable as a wagon. No padding.,NA,"[2, 2]",1
Can this be pulled acrossed the sand at a beach easily?,descriptive,Nope! We didn't even have the kiddos in it and was like dragging dead weight in the sand.,NA,"[2, 2]",1
Can this be pulled acrossed the sand at a beach easily?,descriptive,Not this one it has skinny tires. Get the other ine with wide tires. The are like a foam and go over almost anything,NA,"[2, 2]",1
How long have you have this wagon? Are all the parts still working good so far?,descriptive,I've had this one for almost 2 years now.  The only reported design flaw on this wagon is how the front wheels are welded to the frame.  They will hold fine as long as you aren't too rough with heavily loading it or using it on rough terrain.  If you're heavily loaded you have to go over bumps carefully and pull up on the front so they don't bend back and or break the welds.  I'm a hobby welder so I simply reinforced the legs when mine started showing signs of stress.  Another alternative that doesn't require a welder might be to pick up a couple pieces of conduit strap from your local hardware store and screw it into the frame to give the leg welds a little more support.,NA,"[2, 2]",1
What is the diameter?,descriptive,"the size of my wrist, I would say between 4 to 5 inch",NA,"[0, 1]",0
What is the diameter?,descriptive,10 inches,NA,"[0, 5]",0
can you use 2 together to make necklaces?,yesno,Yes u can if dey had provided d connectors which dey did not,NA,"[0, 2]",0
How large is the ball? I'd like to order an extra to go with the set.,descriptive,"its very small, and the product it just awful breaks every time you make a dunk",NA,"[1, 2]",0
I'm thinking of sticking some felt pads on the back to reduce the noise. Is there a flat spot on the back where I could stick them?,descriptive,"Nope.Its not flat and its kind of hallow. The product was so badly designed,  The moment the ball hits the board (which holds the basket) the links which you use to adjust the height will break loose and you end up assemble everything again. I have applied a tape to hold the links and the hook that holds the entire unit. Another bad design, if your kid applies little force on the basket, the lock which hold the basket in its position will break loose and it gets locked in the downward position and you have apply force to bring it back (which is not easy) to its position and there is no easy way or lock release to bring it back to correct position.",NA,"[3, 3]",1
I'm thinking of sticking some felt pads on the back to reduce the noise. Is there a flat spot on the back where I could stick them?,descriptive,"I agree with Suryanarayana - it's a hollowed-out plastic design and the edges aren't wide enough to attach felt to to put an end to the noise. A significant portion of the noise is generated when the hoop comes away from the hanging surface, as the motion of the ball making it through the basket sways the backstop. My suggestion? Amazon has another over-the-door hoop right now, give it a try.",NA,"[2, 2]",1
Is it possible to know the exact degree of the kitchen?,descriptive,You get what you pay for. My 5 year old likes it but doesn't play with it a lot. On the other hand my 2 year old loves it and can not stay away from it. Instructions are clear to me but there are a lot of pieces to it. As long as you put it up against something it will never break. I think it's a pretty good kitchen set for the price,NA,"[3, 3]",1
does it come with a million parts & pieces and is assembly easy? i've heard horror stories about putting these kitchens together.,descriptive,"It does come with a bunch of pieces, but the instructions are very good and the parts pretty well labeled.  It took me about an hour to assemble and, for my daughter, is a daily activity.",NA,"[2, 2]",1
does it come with a million parts & pieces and is assembly easy? i've heard horror stories about putting these kitchens together.,descriptive,"Yes, it does come with a million parts but they are all well-labeled and the assembly is actually very easy if time consuming.  Most pieces snap together though there are some screws.",NA,"[2, 2]",1
does it come with a million parts & pieces and is assembly easy? i've heard horror stories about putting these kitchens together.,descriptive,It does but it took my husband about an hour to put together and as long as you have the instructions you're set. No horror stories here.,NA,"[2, 2]",1
does it come with a million parts & pieces and is assembly easy? i've heard horror stories about putting these kitchens together.,descriptive,"There are a million pieces, but not too difficult to put together....",NA,"[2, 2]",1
does it come with a million parts & pieces and is assembly easy? i've heard horror stories about putting these kitchens together.,descriptive,The kitchen is easy to assemble.  My daughter loves it!,NA,"[2, 2]",1
"What age group is the kitchen made for?  Also, what the dimensions of the assembled unit?",descriptive,"It is smaller than most.  It is definitely toddler friendly.  We have a tall 2 year old and he loves it!  Not at home so I don't have my measuring tape, but I'd say it's roughly 3' L x 2"" w.  It is definitely not for an 8 year old.  Probably good from 2 to 5 year olds.",NA,"[3, 3]",1
"What age group is the kitchen made for?  Also, what the dimensions of the assembled unit?",descriptive,"I believe the manufacturer recommended 3-8. However, my 2 year olds love it an play with it daily. Not at home with my measuring tape, it is height friendly for my girls who are very tall. I'd say perfect for 2-5 for both height and appropriateness.",NA,"[2, 2]",1
Is the plastic quality decent or cheap-looking?,descriptive,The quality of the plastic is decent,NA,"[2, 2]",1
Is the plastic quality decent or cheap-looking?,descriptive,I think is looks good. Sturdy and we love it!,NA,"[2, 2]",1
Is the plastic quality decent or cheap-looking?,descriptive,It's very cute and not cheap looking at all.,NA,"[2, 2]",1
Is the plastic quality decent or cheap-looking?,descriptive,"I was very disappointed with this purchase, not what I expected.",NA,"[0, 1]",0
Is the plastic quality decent or cheap-looking?,descriptive,"I bought this for , my niece in another state.  Im not sure",NA,"[0, 1]",0
"Walmart has the American Plastic Toys Girls Cookin' Kitchen, almost Identifcal for $40 right now. Does this come w phone?",descriptive,"Yes,there was a simple plastic phone with my set.",NA,"[2, 2]",1
"Walmart has the American Plastic Toys Girls Cookin' Kitchen, almost Identifcal for $40 right now. Does this come w phone?",descriptive,A plastic snap together phone is included.,NA,"[2, 2]",1
"Walmart has the American Plastic Toys Girls Cookin' Kitchen, almost Identifcal for $40 right now. Does this come w phone?",descriptive,This thing took hours for me and my husband to put together. A million plastic pieces. I would buy a wooden one instead.,NA,"[0, 1]",0
It  size,descriptive,● Length : 634mm● Height : 224mm● Main Blade Length : 325mm● Main Rotor Diameter : 715mm● Tail Rotor Diameter : 158mm,NA,"[2, 2]",1
Where can I download the pre-set program for this transmitter.  I just connect it to my computer and it sounds the pre-set to be wipe out.,descriptive,"Sorry, I do not know where you can find that information.  When I bought my Hausler I had a Spektrum DX6i transmitter so I purchased a Spektrum receiver for the helicopter.  I bought the AR6115e and it has worked flawlessly for me.  You will be better off and much happier by doing what I did.  The included radio does not have a very good track record for making adjustments easy.  The DX6i on the other hand is quite easy to make adjustments to your set ups.  I strongly suggest you take this route.",NA,"[1, 2]",0
Does this package include a baking pan?  Is the pan disposable or good for reuse?,descriptive,Easy Bake mixes do not have baking Pans.  Those are on the box with the oven,NA,"[1, 2]",0
Does this package include a baking pan?  Is the pan disposable or good for reuse?,descriptive,Yes they do come with pans and you can also use them.,NA,"[0, 1]",0
What does the + and the - connect to?,descriptive,"Simply connect the balancing plug on the LIPO battery to the battery tester making sure you align the black wire on the plug with the ""-"" on the tester.If you have a 3 cell battery you will only have 4 wires one is ground.Ground is black, align the black with the - sign on the tester.",NA,"[3, 3]",1
What does the + and the - connect to?,descriptive,All it is saying is to connect the LiPO connector with the positive leads facing the +. Start at - and how close you get to + depends on how many cells the LiPO is. Hope this helps :),NA,"[0, 1]",0
"So I purchased this item and when I plug my battery into it to check the voltage it doesn't beep or do anything besides show me ""EE4"". Ideas?",descriptive,Are you possibly connecting it backwards?  I don't have it handy but I know the black ground wire is at the end of the row of pins.  I believe the black wire should be on the right when the pins are at the bottom and the display is facing you.,NA,"[0, 1]",0
Just rcv'd the unit.  How to use it is the question...........,descriptive,Just plug it in to the balanc port of your lipo lining up the negative pole on the tester with the negative slot in the plug. If you have it plugged in correctly it will automatically turn on with a loud beep and display voltages for overall and individual cells. It should be set to alarm at voltages 3.3v per cell from the factory.  There is a small button between the buzzers that you can raise the voltage limit when you have it connected. It automatically resets to 3.3v when you unplug it. Mine has worked great for over a year. Hope this helps.,NA,"[2, 2]",1
I got two units and both show no buzzer and led operation,descriptive,Is your plug on the battery good?,NA,"[0, 1]",0
what is its weight?,descriptive,"According to this, 1-8s Lipo Battery Tester Low Voltage Buzzer Alarm Rc 1s about 16 grams.",NA,"[0, 1]",0
How do you hook it up to monitor a 1S lipo during flight?,descriptive,"These lipo monitor/tester is meant for only on ground monitoring , for inflight monitoring you need telemetry from your aircraft to radio which I know is available on futaba's and spectrum's , you can also fly FPV and monitor battery voltage through an OSD ,(on screen display) which displays battery power through voltage or percentages",NA,"[1, 2]",0
How do you hook it up to monitor a 1S lipo during flight?,descriptive,Just plug it into the balance charge connector on the battery.  It works great.,NA,"[0, 1]",0
How do you hook it up to monitor a 1S lipo during flight?,descriptive,"Since you plug the monitor into the balance plug, and since one cell LiPO battery would have no balance plug, you can't.",NA,"[0, 2]",0
No disrespect but how would this thing fair as a cat toy :),descriptive,I think your cat will probably have trouble holding the paddle.,NA,"[1, 2]",0
No disrespect but how would this thing fair as a cat toy :),descriptive,It's a practice Ping-Pong machine......,NA,"[0, 1]",0
What age groups can use these?  I have a 7 yr old granddaughter.,descriptive,"Unless she has astounding coordination/care, she will break them. (Assuming that I didn't get a freak fragile set).",NA,"[2, 2]",1
What age groups can use these?  I have a 7 yr old granddaughter.,descriptive,any age really...they just need to practice. you can maybe do the strings shorter so they can be more manageable for her...but they are tons of fun and kids love them,NA,"[2, 2]",1
What type of batteries do they take?,descriptive,Each ball takes 2 button cell batteries; size 3V CR1632,NA,"[2, 2]",1
how tall is it,descriptive,I don't know the measurements but my 3 year old granddaughter has had one for over a year and a half and she hasn't outgrown it. It is well worth the money!,NA,"[0, 1]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,No it can not go into a seated position. It does tilt forward slightly but in no way does it do a seated position.,NA,"[1, 2]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,This isn't an actual stroller it's meant for dolls and no it doesn't turn into a seat,NA,"[1, 2]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,"yes, it does fairly easily plus the carriage can either face the pusher or turn around and face where you are going.",NA,"[1, 2]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,no it does not!,NA,"[1, 2]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,"No, no seat.  but a strong and manuverable stroller.",NA,"[1, 2]",0
Does the pink pram turn into a sitting seat position like the beige pram stroller does?,descriptive,Not sure bought it for a present won't know tell after Christmas.,NA,"[0, 1]",0
"I want black, I want 4.  Why can't I pick color?",descriptive,"We have red, yellow, and blue now available",NA,"[0, 1]",0
"I want black, I want 4.  Why can't I pick color?",descriptive,"These are assorted as it states in the title,""Colors Vary""",NA,"[1, 4]",0
Will the Marge Simpson minifigure fit into this case? Marge's hair is taller than most minifigures.,descriptive,"I bought this as a gift, never even saw it so I don't know if Marge would fit... Sorry...",NA,"[0, 2]",0
How tall are the cybermen,descriptive,They are about the same size as a normal Lego character....about 1.5 - 2 inches tall,NA,"[3, 3]",1
How tall are the cybermen,descriptive,very small......about 2 inches.  Approx same size scale as a lego mini-figure.,NA,"[2, 2]",1
How tall are the cybermen,descriptive,6 feet,NA,"[1, 2]",0
How tall are the cybermen,descriptive,6 feet 7 inches,NA,"[1, 2]",0
does the pandorica cybermans head open?,yesno,Yes,Y,"[0, 1]",0
How tall are these figures?,descriptive,They are about 2.5 inches,NA,"[0, 1]",0
how much does it weigh?,descriptive,It weighs about 1 oz. It also doesn't work.,NA,"[0, 1]",0
how much does it weigh?,descriptive,"Hi , I don't have the answer as I live in Scotland and bought it for my nephew in Virginia USA for his Christmas",NA,"[0, 6]",0
has anyone tried these batteries in either the Syma 108 or 109G helis as far as fit?,descriptive,I ordered these and they don't fit.,NA,"[2, 2]",1
has anyone tried these batteries in either the Syma 108 or 109G helis as far as fit?,descriptive,They dont last as long and are heavier. Very tight fit in Sygma 107,NA,"[2, 2]",1
has anyone tried these batteries in either the Syma 108 or 109G helis as far as fit?,descriptive,they fit okay but theydidnt keep a charge any longer than the original battery...as a matter of fact it was less time..,NA,"[2, 2]",1
does it come with a launcher?,yesno,Yes when I got this for my boys it did come with a launcher in the package.,Y,"[0, 1]",0
What is the age limits? Is it ideal gift for 8-11 years children?,descriptive,"Depends on the kid and his interest in geology.  I don't care for how the rocks are identified (sticky numbers on each) as the numbers could come off or be mixed up.  They have to reference the number to the handbook, which I felt was a little over the comprehension of a 10 year old.",NA,"[0, 1]",0
does this set come with an action base to pose it?,yesno,"No, it does not. The Gundam is too large and too heavy for an action base. It also lacks posablity because of the large weapon set.",N,"[0, 1]",0
What scale is it?,descriptive,Not sure of the scale...but it is TERRIBLE...wouldn't recommend anyone to purchase them,NA,"[0, 1]",0
I need something for my 8 years boy,descriptive,"I guess is a good option.  I bought it for my nephew, but she is 2 years old, and for now she starts to play with this kind of things, but for a boy of 8 years I think is good.",NA,"[1, 2]",0
Is the train set compatible with the Thomas wooden railway sets and trains? Thanks!,descriptive,"Yes, it works well enough with them. There is slight difference between the track sizes but my 3 year old used then every day and loves it!!",NA,"[0, 1]",0
Do these have the poly wheels or not? (As of December '13)? What color did you order?,descriptive,"Yes, the red and black Swivel I ordered have polyurethane (rubber) wheels ... no marks on hardwood!",NA,"[2, 2]",1
Do these have the poly wheels or not? (As of December '13)? What color did you order?,descriptive,Color was silver. I don't know what the wheels are made of but they are black.,NA,"[0, 1]",0
Having trouble setting the clock.  The person I got it from (who has retired) had trouble also.  Can you send easy instructions.,yesno,"I hope this helps.  My husband was able to program it, so anyone should be able to!  I typed up the directions that came with it.Instructions for the desktop countdown clockYour new countdown clock is an electronic hourglass.  At a glance, it will show you how many days, hours, minutes and seconds remain until your special date.To personalize the countdown clock, you'll have to set the clock for the current date and time and the future date.On the back of your clock are four buttons marked MODE, A, B and C.  These buttons are used to enter the dates and times.Setting your countdown clock for your future special dateWhen you install 2 AA batteries, the clock will be in Countdown mode.  At this them screen will display ""0"" days, ""0"" hrs, ""0"" min and ""0"" sec.Press the MODE button for about 3 seconds until ""Month, Date and Year"" begin flashing.  Using the A, B, and C buttons, set up a special future date of Month, Date and Year.  Press the MODE button once again to switch to the next screen where ""hrs, min, and sec"" are flashing.  Press the A and B buttons to set up a special future time.  (Note:  The C button does not work in this mode, as seconds cannot be set.)Setting your countdown clock for the current date and timePress the MODE button once more to make the clock go back to the countdown mode.  At this time, a countdown will be displaying on the screen.  Press the MODE button once again to switch to the clock mode (""clock"" will be appearing on the right hand upper corner of the screen).  Press the MODE button once again and the ""hrs, min, and sec"" will begin flashing.  Press the A and B buttons to set up the current time.  (Note:  The C button does not work in this mode, as seconds cannot be set.)Press the MODE button once again.  Month, Date and Year"" will begin flashing.  Press the A, B and C buttons to set the current date.Press the MODE button once again to go into the countdown mode to show the remaining time to your special date.  To display the current date and time, press the MODE button once more.  By pressing the MODE buttons you can switch between the clock and the countdown modes.When displaying the current date and time, you can press the A button to select 12 Hour mode or 24 hour mode.  If you prefer the 12 hour mode, PM will be displayed on the left bottom corner when the time is past 12:00 noon.",Y,"[10, 10]",1
"How do you set, re-set it?",descriptive,"So glad I kept this after I helped out someone else.  Here you go.Instructions for the desktop countdown clockYour new countdown clock is an electronic hourglass.  At a glance, it will show you how many days, hours, minutes and seconds remain until your special date.To personalize the countdown clock, you'll have to set the clock for the current date and time and the future date.On the back of your clock are four buttons marked MODE, A, B and C.  These buttons are used to enter the dates and times.Setting your countdown clock for your future special dateWhen you install 2 AA batteries, the clock will be in Countdown mode.  At this them screen will display ""0"" days, ""0"" hrs, ""0"" min and ""0"" sec.Press the MODE button for about 3 seconds until ""Month, Date and Year"" begin flashing.  Using the A, B, and C buttons, set up a special future date of Month, Date and Year.  Press the MODE button once again to switch to the next screen where ""hrs, min, and sec"" are flashing.  Press the A and B buttons to set up a special future time.  (Note:  The C button does not work in this mode, as seconds cannot be set.)Setting your countdown clock for the current date and timePress the MODE button once more to make the clock go back to the countdown mode.  At this time, a countdown will be displaying on the screen.  Press the MODE button once again to switch to the clock mode (""clock"" will be appearing on the right hand upper corner of the screen).  Press the MODE button once again and the ""hrs, min, and sec"" will begin flashing.  Press the A and B buttons to set up the current time.  (Note:  The C button does not work in this mode, as seconds cannot be set.)Press the MODE button once again.  Month, Date and Year"" will begin flashing.  Press the A, B and C buttons to set the current date.Press the MODE button once again to go into the countdown mode to show the remaining time to your special date.  To display the current date and time, press the MODE button once more.  By pressing the MODE buttons you can switch between the clock and the countdown modes.When displaying the current date and time, you can press the A button to select 12 Hour mode or 24 hour mode.  If you prefer the 12 hour mode, PM will be displayed on the left bottom corner when the time is past 12:00 noon.",NA,"[4, 4]",1
"How do you set, re-set it?",descriptive,There are buttons on the back to reset just like a digital clock,NA,"[0, 1]",0
"What are the dice in the third picture?  I do not believe that those are part of the Eclipse game.  The game comes with yellow, orange and red d6's.",descriptive,"Those dice are not in the game,  but may be from an old version or someone who uses different dies. Its not an accurate picture.",NA,"[2, 2]",1
Is this eclipse 2nd edition (3rd printing)?,descriptive,I received it today. The alien on the box was wearing red so I believe mine is the second edition.,NA,"[2, 2]",1
Is this eclipse 2nd edition (3rd printing)?,descriptive,"I would say that, no, it isn't. Two reasons: 1) The price on this product has been steadily dropping for the past couple of months to move them out of inventory. 2) The 2nd edition box art is slightly different than what is pictured, here. On the new box art, there is an alien character wearing red in place of that blue guy in the lower right. While images are not right 100% of the time, I think in this case the image for the box art is not misleading and that this game is, in fact, the first edition.",NA,"[3, 4]",0
Is this eclipse 2nd edition (3rd printing)?,descriptive,I just ordered the game here last week and the box that I received today has the alien in the red outfit on the front.,NA,"[2, 2]",1
Is this eclipse 2nd edition (3rd printing)?,descriptive,"Yes, this is the second edition.",NA,"[2, 2]",1
Is this eclipse 2nd edition (3rd printing)?,descriptive,Could anybody that purchased this item confirm if the box front art includes a red wearing alien? Thanks!,NA,"[0, 2]",0
Is this eclipse 2nd edition (3rd printing)?,descriptive,Really don't know.,NA,"[0, 7]",0
Is this eclipse 2nd edition (3rd printing)?,descriptive,"Offhand I have no idea. I purchased mine about 6 months ago and the instructions looked like a first edition run. Contacting the seller may give you the specifics as to what they have in stock. There are some vagaries in the rules, but I found online errata to help with any confusion.",NA,"[0, 5]",0
Are the letters raised?,descriptive,No they are not,NA,"[0, 1]",0
Are these used for duplicate bridge?,descriptive,I have no idea. I don't know anything about duplicate bridge except that a lot of players I know are way tt,NA,"[0, 1]",0
Mushroom terrarium,descriptive,follow directions to the letter nothing ever happened,NA,"[0, 1]",0
How long do the mushrooms last before they all die?,descriptive,they never grew,NA,"[2, 3]",0
shat are the dimensions of the small pool?,descriptive,"It has a 32 inch diameter and is about 8 inches deep, good for a small or medium size dog. I have a 40 lb dog and it works well for her",NA,"[2, 2]",1
Is this toy hollow?,descriptive,"I don't think so, it was pretty heavy.  I used as a cake topper for grandson's BD cake!",NA,"[2, 2]",1
Is this toy hollow?,descriptive,"No, it is solid.",NA,"[2, 2]",1
Is this toy hollow?,descriptive,no it isn't hollow,NA,"[2, 2]",1
Is this too heavy to be used as a cake topper?,descriptive,I think it would be fine especially if you put it on some kind of platform. It would definitely be a rather expensive cake topper though.,NA,"[2, 2]",1
Is this too heavy to be used as a cake topper?,descriptive,He's big and you might have trouble getting him to stand up straight because of the way his feet are made - but if you put him on something solid I don't think he would be too heavy.,NA,"[2, 2]",1
what are the dimensions?,descriptive,"About six inches high at the head, and eight inches wide from head to tail tip, and small enough for a four year-old boy to lovingly clutch in one hand all day!",NA,"[2, 2]",1
what are the dimensions?,descriptive,I do not know as this is now at my grandon's house.  I used it for a cake topper on his BD cake last year.  It is a VERY nice dinosaur. Maybe Amazon has the info you seek? Sorry I could not be of help.  It is not a small dinosaur,NA,"[1, 2]",0
what are the dimensions?,descriptive,"Head to tail about six inches. The tail is pretty sharp and the head is rounded,so only tail is a concern. Also,the claw paint is flaky and the claws are pointy. The SURFACE is soft,though it is SOLID,so it would hurt to get hit with it still. That is all.",NA,"[1, 2]",0
what are the dimensions?,descriptive,I used this for a cake topper for my 7 year old grandson's BD cake. VERY nice dinosaur.  The dimensions are actually at the bottom of the product page.....,NA,"[0, 1]",0
What size is this?,descriptive,"The T rex is fairly large, I'd say maybe 12 inches or so. I gave it as a gift for my grandson who is 8 and he loved it. That is why I don't know exactly how big it is.",NA,"[0, 3]",0
what is the weight of each ball?,descriptive,They're between 1/2lb and 1/4lb each. They're heavy enough to stay in a basket or bucket when tossed if playing a game but a little light if you're looking for something weighted.,NA,"[0, 1]",0
does it record the childs voice?,yesno,Sorry but I don´t know since we had to return it because it wasn´t working,NA,"[1, 2]",0
does it require batteries,yesno,No it came with them.,N,"[0, 1]",0
"In some reviews I see that the set cames with a baby, but I just learned from the manufacturer that only models E3459 come with baby and older models E3457 do not. This listing indicates the older version, so if I order will I receive the baby or not? Or is it just a gamble?",descriptive,I ordered a set at Christmas and it did come with a baby . It was a complete surprise to me because no where  on the box or product details was it mentioned.,NA,"[5, 5]",1
